index	Title	Location	Company	Synopsis	Link
71	Research Assistant	Detroit, MI 48201 (Midtown area)	Perinatology Research Branch	Perform molecular biology experiments; ELISA, Flow cytometry, RT-PCR real time, Immunohistochemistry.	https://www.indeed.com/rc/clk?jk=72e443da67a79a63&fccid=cf285b5124501244&vjs=3
72	Research Assistant - Neurology	Memphis, TN 38116 (White Haven-Coro Lake area)	University of Tennessee	Recruits volunteer participants for the research program.	https://www.indeed.com/rc/clk?jk=4de2a229c6b94e4b&fccid=a2b8a561fdc0c8d9&vjs=3
73	Research Associate	Boston, MA	Harvard University	Division of Research and Faculty Development.	https://www.indeed.com/rc/clk?jk=4f482de073e4491d&fccid=5507a64404691526&vjs=3
74	Research Assistant II - School of Public Health	Austin, TX	The University of Texas Health Science Center at H...	Conducts research activities, under general direction, according to research.	https://www.indeed.com/rc/clk?jk=fc22455251ef9fc5&fccid=2259246cd8a35c6c&vjs=3
75	Hourly Research Assistant	Salt Lake City, UT 84112 (East Bench area)	University of Utah	Research assistants on this project are involved with participant recruitment, specimen kit collection, data entry, patient correspondence and maintaining…	https://www.indeed.com/rc/clk?jk=990c9f36a368dc16&fccid=6328b27691d3fdc3&vjs=3
76	PS Hourly Research Assistant	Salt Lake City, UT 84112 (East Bench area)	University of Utah	Employees and/or functions where employees are able to work remotely in order to maintain campus systems, campus operations, clinical operations, and patient…	https://www.indeed.com/rc/clk?jk=e7f02054077e2fc3&fccid=6328b27691d3fdc3&vjs=3
77	Research Assistant	Omaha, NE 68182	University of Nebraska at Omaha	Prior experience conducting ethnographic research, interviewing research subjects, and writing summaries and general analysis of interviews.	https://www.indeed.com/rc/clk?jk=70c89e2c11491094&fccid=23fd47cdc2b93368&vjs=3
78	Research Associate	United States	Split Biosciences	You will design and perform experiments to improve our existing single-cell RNA-sequencing kits as well as demonstrate new applications for our kits.	https://www.indeed.com/rc/clk?jk=df504b4fb47fdb9b&fccid=65713e65c9b36709&vjs=3
79	Clinical Research Assistant	Lafayette, IN 47905	IU Health Arnett	Assists with coordination of administrative and clinical aspects of research projects.	https://www.indeed.com/rc/clk?jk=085912ca7de729d1&fccid=6cdebd3a6977c60b&vjs=3
80	Research Assistant 1	Cleveland, OH 44106 (University District area)	Case Western Reserve University	Working under moderate supervision, the research assistant 1 will perform research work in immunology, cell biology and molecular biology-based projects to…	https://www.indeed.com/rc/clk?jk=8627b2867d49dfa7&fccid=ca618b34d397b8fc&vjs=3
81	Clinical Research Assistant A	Philadelphia, PA	University of Pennsylvania	Works directly with study physicians, research coordinators, project managers, and other research staff.	https://www.indeed.com/rc/clk?jk=fdd3cf552b88e487&fccid=ebd944f3c244d667&vjs=3
82	Research Assistant (Pharmacology)	San Antonio, TX 78229	UT Health Science Center at San Antonio	Responsibilities include assisting or conducting a variety of scientific experiments and research projects of limited complexity, collecting, evaluating and…	https://www.indeed.com/rc/clk?jk=e9606bdc2ce86fa9&fccid=724db2a58e4f828f&vjs=3
83	Research Assistant - Center for Outcomes and Assessment Rese...	East Hanover, NJ	Kessler Foundation	Interview participants according to research protocols.	https://www.indeed.com/rc/clk?jk=31e4fd3e61d5c35f&fccid=cad73781c01a334b&vjs=3
84	Research Associate, Entry Level	Atlanta, GA 30303 (Downtown area)	GBW RESEARCH	Author descriptive documents that profile the emerging technology activities of start-up companies, large corporations, and research laboratories.	https://www.indeed.com/rc/clk?jk=1046e9f801ecdb33&fccid=6f3913a57f79d18b&vjs=3
85	Research Assistant	Washington, DC 20431 (Brentwood area)	International Monetary Fund	Experience working with macroeconomic data and writing macroeconomic research reports.	https://www.indeed.com/rc/clk?jk=40e74b5726512b01&fccid=db55a1d9cc44c9a1&vjs=3
86	Laboratory Assistant	Albuquerque, NM	TriCore Reference Laboratories	Position Type: Regular - Full Time Education Required: See Minimum Qualifications.	https://www.indeed.com/rc/clk?jk=5fefd79e027e566f&fccid=c64ae7052d919731&vjs=3
87	Research Assistant	San Francisco, CA 94143 (Haight-Ashbury area)	University of California San Francisco	Under general supervision, you will perform administrative work for the Principal Investigator of a research group studying the effects of novel therapeutics on…	https://www.indeed.com/rc/clk?jk=494add4912b17aff&fccid=2a341562d64c7cdb&vjs=3
88	Research Assistant 2	Danbury, CT 06810	Western Connecticut Health Network	Working knowledge of statistics and research methodology.	https://www.indeed.com/rc/clk?jk=fa7953923efcad7f&fccid=0105162e1ce2eaf6&vjs=3
89	Part Time Research Assistant in Anthropology	University Park, PA	Penn State University	The College of Liberal arts at the Pennsylvania State University is seeking applications for a Part Time Research Assistant in Dr. Luke Glowacki's lab in the…	https://www.indeed.com/rc/clk?jk=b8332c9989c064f6&fccid=ee32437d8dec00bd&vjs=3
90	Research Assistant I - Developmental & Regenerative Biology	New York, NY	Mount Sinai	Under direct supervision, provides support services for research projects.	https://www.indeed.com/rc/clk?jk=cbbde09d43694dbd&fccid=c007936ceb766fe5&vjs=3
91	Research Assistant- Kaiser Permanente Bernard J. Tyson Schoo...	Pasadena, CA 91101 (South area)	Kaiser Permanente	Collects and manages research and education data.	https://www.indeed.com/rc/clk?jk=b85d7a5b011613cb&fccid=48ecd526e3aa3225&vjs=3
92	Research Assistant I	San Antonio, TX 78229	The START Center for Cancer Care	Knowledge and training in animal research preferred.	https://www.indeed.com/rc/clk?jk=778281b1d0783794&fccid=27b11ed1b79962bf&vjs=3
93	Research Assistant I - NE	San Diego, CA (Torrey Pines area)	The Scripps Research Institute	The applicant will support the lab research by ordering supplies, making solutions, animal handling, molecular biology, lab organization, general lab…	https://www.indeed.com/rc/clk?jk=e832cf041b52f901&fccid=d4bca27c5f4c9dcb&vjs=3
94	Research Assistant - Neuroscience Study	Philadelphia, PA 19131 (Wynnefield Heights area)	Philadelphia College of Osteopathic Medicine	May present research findings at meetings.	https://www.indeed.com/rc/clk?jk=34218066728f8955&fccid=44962bfdcf371a6d&vjs=3
95	Research Associate, Microbiology	Davis, CA 95618 (Interland-Univ. Research Park area)	BioConsortia	2+ years in an industrial or academic research lab is desired.	https://www.indeed.com/rc/clk?jk=299baec869090600&fccid=8d6c4d2ae2281424&vjs=3
96	Research Assistant - Cannabis Study	Philadelphia, PA 19131 (Wynnefield Heights area)	Philadelphia College of Osteopathic Medicine	Three (3) research assistants will assist investigators from PCOM's School of Professional and Applied Psychology (clinical department) with a three-year study…	https://www.indeed.com/rc/clk?jk=57f83d527018e0af&fccid=44962bfdcf371a6d&vjs=3
97	Research Assistant	Waltham, MA 02454	Brandeis University	Perform independent or supervised research (50% time).	https://www.indeed.com/rc/clk?jk=3dd177ecc6ade376&fccid=ba0bca2dfe130b96&vjs=3
98	Research Assistant	Salt Lake City, UT 84112 (East Bench area)	University of Utah	Preferences Type Benefited Staff Special Instructions Summary.	https://www.indeed.com/rc/clk?jk=8aafa86f45a9c83f&fccid=6328b27691d3fdc3&vjs=3
99	Research Assistant I - Neurodegenerative Diseases	Houston, TX	The University of Texas Health Science Center at H...	Under close direction of senior research staff, conducts activities to support research projects.	https://www.indeed.com/rc/clk?jk=4a7e761316190e4c&fccid=2259246cd8a35c6c&vjs=3
100	Clinical Research Assistant 1	Charlotte, NC 28204 (Elizabeth area)	Novant Health	Maintains all research protocol data and compliance reporting.	https://www.indeed.com/rc/clk?jk=bee07e6f01fc51bb&fccid=cfd1fe74085d0235&vjs=3
101	Research Assistant	Los Angeles, CA 90059	Charles R. Drew University	Some experience in experimental cancer research is a plus.	https://www.indeed.com/rc/clk?jk=3284fdd8a2ccf8ed&fccid=edd38596181d739b&vjs=3
102	Research Assistant, Social, Cultural, and Constitutional Stu...	Washington, DC 20036 (Dupont Circle area)	American Enterprise Institute	AEI is seeking a full-time research assistant to work with scholars in AEI’s Constitutional Governance Center.	https://www.indeed.com/rc/clk?jk=73f203cb2c7e8c2b&fccid=c888c55c708fa7a8&vjs=3
103	Conservation Biodiversity Research Resource Assistant - Inst...	Placerville, CA	Hispanic Access Foundation	Incumbent should have basic office skills, which include, answering phones, operation of fax machine and copy equipment, and computer data entry.	https://www.indeed.com/rc/clk?jk=688ca0333f61f8e0&fccid=999cfd295eb4f1fc&vjs=3
104	Research Assistant	Irvine, CA 92614	Irvine Clinical Research	Learn complex research protocols quickly and assist with data entry and quality.	https://www.indeed.com/rc/clk?jk=aaffa2ec7b35e638&fccid=57f9eaa3ef7457db&vjs=3
105	Senior Research Associate	South San Francisco, CA	Nkarta, Inc.	NK cellsplay a key role in the body’s immune system, able to identify and kill abnormalcells by monitoring their expression of activating and inhibitory…	https://www.indeed.com/rc/clk?jk=7948d2df250d60a8&fccid=e516eeef514b681b&vjs=3
106	Research Assistant	Manhasset, NY 11030	Northwell Health	Learns, researches and recommends new experimental procedures, as necessary.	https://www.indeed.com/rc/clk?jk=8dca3af7be929989&fccid=6f31e2074a3d8a7b&vjs=3
107	Term Research Assistant	Cambridge, MA 02138 (Riverside area)	National Bureau of Economic Research	The Research Assistant will work on a range of research tasks, including managing data collection, data analysis, creating and managing research datasets using…	https://www.indeed.com/rc/clk?jk=583a6bdbc71b478b&fccid=ce4391f2b5a10912&vjs=3
108	Research Study Assistant / Research Technologist	Chicago, IL	Northwestern University	Performs scientific literature searches in support of research.	https://www.indeed.com/rc/clk?jk=f86f92f660c18b60&fccid=bc51f56762438d6f&vjs=3
109	Assistant Research Technician – Cardiology	New York, NY 10016 (Gramercy area)	NYU Langone Health	Maintains the confidentiality of all research information.	https://www.indeed.com/rc/clk?jk=cc1cc59f10fc05ac&fccid=848e72c84ce4a7a7&vjs=3
110	Research Assistant	Orange, CA 92866	Chapman University	Conduct independent research in environmental geochemistry related to supervisor’s principal research.	https://www.indeed.com/rc/clk?jk=0fd50507b071c751&fccid=18ba4fe37504b5c4&vjs=3
111	Research Assistant/Analyst	Salt Lake City, UT 84112 (East Bench area)	University of Utah	May work with research personnel in the design and preparation of research projects and in recording data.	https://www.indeed.com/rc/clk?jk=47117da6e9bcea29&fccid=6328b27691d3fdc3&vjs=3
112	Research Assistant I	Waltham, MA 02453	Education Development Center	2–4 years related research, education or administrative coordination, requiring experience with Excel, SPSS (or comparable statistical package), and Internet…	https://www.indeed.com/rc/clk?jk=4500bf04405e20b6&fccid=912abf0f6b0939f9&vjs=3
113	Research Assistant Bench -Transplant	Houston, TX	Houston Methodist	Participation in research planning meetings.	https://www.indeed.com/rc/clk?jk=fb2a6872abed2889&fccid=1fc7fdf0baeeb13b&vjs=3
114	Research Assistant--Hala	Galveston, TX 77554	Texas A&M University at Galveston	Appropriate bachelor's or an equivalent combination of education and experience.	https://www.indeed.com/rc/clk?jk=37d59fc40ede7b5a&fccid=958353b46975371d&vjs=3
115	Research Assistant I	Dallas, TX	University of Texas at Dallas	Conducts research activities according to research protocol.	https://www.indeed.com/rc/clk?jk=14cce1750f1d22ab&fccid=e3c34fabea26c902&vjs=3
116	RESEARCH ASSISTANT	Camden, NJ 08103 (Gateway area)	Cooper University Hospital	Preferred: Genetic Counseling Master’s Degree student with research studies experience.	https://www.indeed.com/rc/clk?jk=de3662cd206d326d&fccid=019abe7a92e94b3c&vjs=3
