index	city	company_name	duration	frequency	job	job_link	salary
350	深圳	欣天雅	1个月	2天/周	运营实习生/运营助理/SEO实习生	https://www.shixiseng.com/intern/inn_i9ztwy2iqo8s?pcm=pc_SearchList	150-250/天
351	上海	金凝实业	10个月	5天/周	前台接待/统计实习生	https://www.shixiseng.com/intern/inn_q4dlxif4jnf1?pcm=pc_SearchList	200-400/天
352	广州	GTIC	2个月	5天/周	桌面运维实习生（网管员）	https://www.shixiseng.com/intern/inn_xynyircdadd1?pcm=pc_SearchList	80-100/天
353	上海	文汇	12个月	5天/周	内控稽核实习生	https://www.shixiseng.com/intern/inn_qi3lq7vwvfmm?pcm=pc_SearchList	80-80/天
354	南通	我武生物	3个月	6天/周	医药销售代表（南通—启东）	https://www.shixiseng.com/intern/inn_6kptpgdm951i?pcm=pc_SearchList	100-150/天
355	惠州	碧桂园	2个月	5天/周	工程实习生（土建/水电）	https://www.shixiseng.com/intern/inn_k1ndpgjyz5hu?pcm=pc_SearchList	150-200/天
356	武汉	学而思网校	3个月	5天/周	优选课暑期实习生	https://www.shixiseng.com/intern/inn_ijho1ollybtd?pcm=pc_SearchList	150-180/天
357	北京	自达康	10个月	6天/周	视频编辑实习生	https://www.shixiseng.com/intern/inn_l4s8oauznzow?pcm=pc_SearchList	120-150/天
358	深圳	顺电	3个月	5天/周	营销管理储备（顺电味旗舰店）	https://www.shixiseng.com/intern/inn_8susmfiuir3i?pcm=pc_SearchList	100-200/天
359	武汉	ezbuy	2000人以上	50-150人	英语客服实习生	https://www.shixiseng.com/intern/inn_evuo3lkp54kx?pcm=pc_SearchList	180-300/天
360	上海	蜜茨甜梨	12个月	5天/周	客服专员	https://www.shixiseng.com/intern/inn_xtqi1qaap5pd?pcm=pc_SearchList	120-150/天
361	广州	广德昌科技	12个月	5天/周	验收员（医学检验专员）	https://www.shixiseng.com/intern/inn_op1oujbqur4y?pcm=pc_SearchList	100-150/天
362	崇左	我武生物	12个月	5天/周	医药销售代表\医学信息沟通专员（广西-崇左）	https://www.shixiseng.com/intern/inn_iy1pi1idhr1v?pcm=pc_SearchList	120-200/天
363	崇左	我武生物	12个月	5天/周	医药销售代表\医学信息沟通专员（广西-崇左）	https://www.shixiseng.com/intern/inn_xogqh6jop7dq?pcm=pc_SearchList	120-200/天
364	广州	时趣互动	4个月	5天/周	设计实习生	https://www.shixiseng.com/intern/inn_je2wpgjmtwh8?pcm=pc_SearchList	100-120/天
365	上海	shopee	6个月	5天/周	采购实习生	https://www.shixiseng.com/intern/inn_1nl4k8ld2wo3?pcm=pc_SearchList	150-150/天
366	上海	领鸟云	3个月	5天/周	运营实习生	https://www.shixiseng.com/intern/inn_hfizssf2qhu1?pcm=pc_SearchList	100-200/天
367	郑州	高途课堂	2个月	6天/周	高中生物暑期实习	https://www.shixiseng.com/intern/inn_ackgwxy98u6y?pcm=pc_SearchList	80-80/天
368	杭州	海康威视	4个月	5天/周	数字营销专员	https://www.shixiseng.com/intern/inn_nfvdgvwd1ubx?pcm=pc_SearchList	100-120/天
369	北京	网易	3个月	5天/周	大数据开发实习生	https://www.shixiseng.com/intern/inn_aqfqgwugbppz?pcm=pc_SearchList	100-150/天
370	深圳	智联慧通	3个月	5天/周	java软件初级工程师	https://www.shixiseng.com/intern/inn_8gf2cgov2vfl?pcm=pc_SearchList	200-400/天
371	杭州	每刻科技	6个月	5天/周	UI设计实习生	https://www.shixiseng.com/intern/inn_532fvt9yayod?pcm=pc_SearchList	120-180/天
372	上海	中青博联 	1个月	5天/周	会展活动执行	https://www.shixiseng.com/intern/inn_pml0ellvbakl?pcm=pc_SearchList	120-150/天
373	北京	昭衍生物	6个月	5天/周	质量控制部原辅料实习生	https://www.shixiseng.com/intern/inn_ford1zhywlrf?pcm=pc_SearchList	80-120/天
374	北京	链家	3个月	6天/周	置业经纪人	https://www.shixiseng.com/intern/inn_kptlbpbi2ekt?pcm=pc_SearchList	300-500/天
375	上海	DB Schenker	6个月	4天/周	（2021年毕业）业务结算实习生（国内运输部）- 上海	https://www.shixiseng.com/intern/inn_k6ijqr5whx1l?pcm=pc_SearchList	100-120/天
376	北京	方引网校	6个月	5天/周	招生老师	https://www.shixiseng.com/intern/inn_mf4whgbluc6e?pcm=pc_SearchList	150-300/天
377	广州	环智	3个月	5天/周	策划实习生	https://www.shixiseng.com/intern/inn_lxq4iumqxsm0?pcm=pc_SearchList	50-80/天
378	宁波	萌牙科技	5天/周	5天/周	新媒体文案策划（B站方向）	https://www.shixiseng.com/intern/inn_twrlhul3upia?pcm=pc_SearchList	400-500/天
379	西安	募格网络科技	2000人以上	3个月	行政/人事/文员实习生	https://www.shixiseng.com/intern/inn_4k6cdidwpvpf?pcm=pc_SearchList	80-100/天
380	上海	我武生物	6个月	5天/周	短视频编导实习生	https://www.shixiseng.com/intern/inn_k6zwd0utarok?pcm=pc_SearchList	100-150/天
381	北京	用友能源	5个月	5天/周	开发实习生	https://www.shixiseng.com/intern/inn_wkyvenxfa1zl?pcm=pc_SearchList	100-100/天
382	苏州	 中德联信 	2个月	5天/周	办公室续保客服	https://www.shixiseng.com/intern/inn_ke44ggwqfalg?pcm=pc_SearchList	200-400/天
383	鄂尔多斯	匠昕装饰设计 	3个月	6天/周	预算员（室内装饰）	https://www.shixiseng.com/intern/inn_hpzq5b7n7ual?pcm=pc_SearchList	150-200/天
384	广州	麦壳	3个月	5天/周	淘宝客服	https://www.shixiseng.com/intern/inn_y0emrz30nfjs?pcm=pc_SearchList	80-150/天
385	北京	币信	12个月	5天/周	商务专员	https://www.shixiseng.com/intern/inn_ob8mz2s4zskn?pcm=pc_SearchList	150-300/天
386	孝感	我武生物	12个月	5天/周	医药销售代表\医学信息沟通专员（湖北-孝感）	https://www.shixiseng.com/intern/inn_ivrnwf8wyoo2?pcm=pc_SearchList	120-200/天
